P_value,Orphanet_id,FDR(Bonferroni),Relationship,FDR(BH),Disease_id,Disease_name,OMIM_id
0.000114,99977.0,1.0,By_ingredient,0.001031,SMDE00116,Squamous Cell Carcinoma Of Esophagus,133239
5.4e-05,,1.0,By_ingredient,0.000586,SMDE00172,Lung Cancer,211980
9.5e-05,2762.0,1.0,By_ingredient,0.000894,SMDE00204,"Osseous Heteroplasia, Progressive",166350
3e-05,,1.0,By_ingredient,0.000374,SMDE00303,Marfan Syndrome,154700
2e-06,,1.0,By_ingredient,5.3e-05,SMDE00364,"Neutropenia, Nonimmune Chronic Idiopathic, Of Adults",607847
6.8e-05,797.0,1.0,By_ingredient,0.000697,SMDE00508,Sarcoidosis,612388|612387|181000
1e-05,,1.0,By_ingredient,0.000163,SMDE00576,Li-Fraumeni Syndrome 1,151623
0.000838,2970.0,1.0,By_MM_symptom,0.046479,SMDE00673,Prune Belly Syndrome,100100
0.00015,,1.0,By_ingredient,0.001271,SMDE00694,Pancreatic Cancer,260350
1.6e-05,,1.0,By_ingredient,0.000224,SMDE00787,"Periodontitis, Aggressive, 1",170650
0.000833,905.0,1.0,By_MM_symptom|By_ingredient,0.004709,SMDE00866,Wilson Disease,277900
0.000254,,1.0,By_MM_symptom,0.035429,SMDE00955,"Erythermalgia, Primary",133020
0.0,90340.0,0.155189,By_MM_symptom|By_ingredient,7e-06,SMDE01160,Blau Syndrome,186580
0.000674,,1.0,By_ingredient,0.004011,SMDE01210,Retinoblastoma,180200
0.000855,229.0,1.0,By_ingredient,0.004807,SMDE01323,Familial Aortic Dissection,607086
9.2e-05,,1.0,By_ingredient,0.000873,SMDE01332,Esophageal Cancer,133239
0.000838,,1.0,By_MM_symptom,0.046479,SMDE01411,Sacral Defect With Anterior Meningocele,600145
2.5e-05,,1.0,By_ingredient,0.000323,SMDE01745,"Granulomatous Disease, Chronic, X-Linked",306400
0.000838,897.0,1.0,By_MM_symptom,0.046479,SMDE01752,Waardenburg-Shah Syndrome,277580|613265|613266
6e-06,524.0,1.0,By_ingredient,0.000108,SMDE01989,Li-Fraumeni Syndrome,151623|609266|609265
3e-05,,1.0,By_ingredient,0.000369,SMDE02176,Retinitis Pigmentosa 30,607921
2.2e-05,,1.0,By_ingredient,0.000288,SMDE02318,Nasopharyngeal Carcinoma,607107
0.000425,,1.0,By_ingredient,0.002825,SMDE02522,"Thyroid Hormone Resistance, Generalized, Autosomal Recessive",274300
3e-06,3287.0,1.0,By_MM_symptom|By_ingredient,5.7e-05,SMDE02643,Takayasu Arteritis,207600
0.000284,,1.0,By_ingredient,0.002074,SMDE02764,Mitochondrial Myopathy,251900
0.000389,388.0,1.0,By_MM_symptom,0.035539,SMDE03018,Hirschsprung Disease,611644|142623|6|606874|613712|606875
0.000234,,1.0,By_ingredient,0.001791,SMDE03022,Obesity,601665
0.000254,,1.0,By_MM_symptom,0.035429,SMDE03123,"Coproporphyria, Hereditary",121300
7.2e-05,2856.0,1.0,By_ingredient,0.000723,SMDE03128,Persistent M¨¹llerian Duct Syndrome,261550
2.2e-05,379.0,1.0,By_MM_symptom|By_ingredient,0.000292,SMDE03445,Chronic Granulomatous Disease,233700|233690|613960|306400|233670|233710
0.000593,,1.0,By_ingredient,0.011311,SMDE03552,"Ceroid Lipofuscinosis, Neuronal, 10",610127
4e-06,,1.0,By_ingredient,7.5e-05,SMDE03622,Retinitis Pigmentosa 60,613983
0.000293,,1.0,By_ingredient,0.00213,SMDE03644,Polycystic Kidney Disease 1,173900
7.2e-05,104.0,1.0,By_ingredient,0.000723,SMDE03665,Leber Hereditary Optic Neuropathy,535000|535000|308905
0.000311,,1.0,By_ingredient,0.002225,SMDE03677,"Corneal Dystrophy, Epithelial Basement Membrane",121820
0.000214,,1.0,By_ingredient,0.001671,SMDE03753,"Thyroid Hormone Resistance, Generalized, Autosomal Dominant",188570
0.000792,84.0,1.0,By_ingredient,0.00453,SMDE03785,Fanconi Anemia,227645|600901|613951|300514|603467|609053|227646|617247
0.000109,,1.0,By_ingredient,0.000994,SMDE03855,"Melanoma, Cutaneous Malignant, Susceptibility To, 1",155600
0.000214,,1.0,By_ingredient,0.001671,SMDE03895,"Thyroid Hormone Resistance, Selective Pituitary",145650
0.0,,0.050839,By_ingredient,3e-06,SMDE04086,"Diabetes Mellitus, Noninsulin-Dependent",125853
3.3e-05,1452.0,1.0,By_ingredient,0.000395,SMDE04318,Cleidocranial Dysplasia,119600|216330
8.3e-05,,1.0,By_ingredient,0.00081,SMDE04347,Familial Adenomatous Polyposis 1,175100
0.000716,794.0,1.0,By_ingredient,0.004193,SMDE04516,Saethre-Chotzen Syndrome,101400
0.000867,,1.0,By_ingredient,0.004858,SMDE04754,Short-Rib Thoracic Dysplasia 4 With Or Without Polydactyly,613819
2e-06,,1.0,By_ingredient,5.3e-05,SMDE04820,Ewing Sarcoma,612219
6.7e-05,52416.0,1.0,By_ingredient,0.000688,SMDE04931,Mantle Cell Lymphoma,
0.00016,,1.0,By_ingredient,0.001339,SMDE04945,Ovarian Cancer,167000
3e-06,85414.0,1.0,By_MM_symptom|By_ingredient,7e-05,SMDE04951,Systemic-Onset Juvenile Idiopathic Arthritis,604302
0.000389,100924.0,1.0,By_MM_symptom,0.035539,SMDE05011,Porphyria Due To Ala Dehydratase Deficiency,612740
6.1e-05,168829.0,1.0,By_MM_symptom|By_ingredient,0.029784,SMDE05056,Primary Peritoneal Carcinoma,
0.000929,,1.0,By_ingredient,0.005118,SMDE05211,Fever,MTHU005439|MTHU015481
6e-06,,1.0,By_ingredient,0.0001,SMDE05223,Heat Stroke,
0.0,,0.022529,By_ingredient,1e-06,SMDE05227,Whooping Cough,
8.4e-05,,1.0,By_ingredient,0.000818,SMDE05232,"Arthritis, Rheumatoid",MTHU049127|607218|180300
8.4e-05,,1.0,By_ingredient,0.000819,SMDE05233,Arthritis,
0.000413,673.0,1.0,By_MM_symptom|By_ingredient,0.002763,SMDE05235,Malaria,611162
0.000528,,1.0,By_ingredient,0.003331,SMDE05361,Acps Iii,101120
0.000247,,1.0,By_ingredient,0.001864,SMDE05371,Acquired Immunodeficiency Syndrome,
6.5e-05,,1.0,By_ingredient,0.000674,SMDE05415,Acute Appendicitis Nos (Disorder),
0.0,,0.00916,By_ingredient,1e-06,SMDE05426,Acute Coronary Syndrome,
0.000959,,1.0,By_ingredient,0.005243,SMDE05437,Acute Interstitial Pneumonia,
1e-06,,0.996085,By_ingredient,2.9e-05,SMDE05441,Acute Lung Injury,
7.6e-05,,1.0,By_ingredient,0.00076,SMDE05463,Adenocarcinoma,MTHU014125
5.8e-05,,1.0,By_ingredient,0.000613,SMDE05472,Adenocarcinoma Of Esophagus,614266
2.1e-05,,1.0,By_MM_symptom|By_ingredient,0.000276,SMDE05518,Adenolymphoma,
2e-06,,1.0,By_ingredient,4.6e-05,SMDE05524,Adenomatous Polyposis Coli,175100|611731
8e-06,,1.0,By_ingredient,0.000132,SMDE05602,Adult Primary Hepatocellular Carcinoma,
4e-06,,1.0,By_ingredient,7.8e-05,SMDE05610,Adult-Onset Still Disease,
3.5e-05,,1.0,By_ingredient,0.000414,SMDE05631,Age Related Macular Degeneration,MTHU044264|590050
0.000325,,1.0,By_ingredient,0.002301,SMDE05717,Alopecia Areata,MTHU042248|MTHU036829
0.000447,,1.0,By_MM_symptom|By_ingredient,0.002937,SMDE05745,Alveolar Osteitis,
0.00019,,1.0,By_ingredient,0.00153,SMDE05843,Anemia,MTHU002606
0.0,,0.115961,By_ingredient,5e-06,SMDE05856,Aneurysm,MTHU044974
1.9e-05,,1.0,By_ingredient,0.000262,SMDE05894,Angiolymphoid Hyperplasia,
1e-06,,0.518056,By_ingredient,1.7e-05,SMDE05947,Anthracosis,
0.000325,,1.0,By_ingredient,0.002299,SMDE05983,Aortic Arch Syndrome,
0.000268,,1.0,By_ingredient,0.001987,SMDE05999,Aphthous Stomatitis,MTHU008506|MTHU020588
8.2e-05,,1.0,By_ingredient,0.000799,SMDE06004,Appendicitis,
1.3e-05,,1.0,By_ingredient,0.000195,SMDE06030,Arsenic Poisoning,
0.000284,,1.0,By_ingredient,0.002074,SMDE06038,Arteriosclerosis Obliterans,
0.000276,,1.0,By_ingredient,0.002031,SMDE06047,"Arthritis, Experimental",
1.6e-05,,1.0,By_ingredient,0.000232,SMDE06063,Asbestosis,
4.1e-05,,1.0,By_ingredient,0.000469,SMDE06071,Aseptic Meningitis,
2.5e-05,,1.0,By_ingredient,0.000323,SMDE06212,Autosomal Recessive Chronic Granulomatous Disease,
0.000789,,1.0,By_ingredient,0.004516,SMDE06237,B-Cell Lymphomas,MTHU019696
1e-05,,1.0,By_MM_symptom|By_ingredient,0.00016,SMDE06253,Bacterial Vaginosis,
1.2e-05,,1.0,By_ingredient,0.00018,SMDE06282,Basal Cell Carcinoma,MTHU000128|MTHU022681
1.2e-05,,1.0,By_ingredient,0.000186,SMDE06412,Bile Duct Carcinoma,
1.4e-05,,1.0,By_ingredient,0.000201,SMDE06422,Bile Duct Neoplasms,
0.000649,,1.0,By_ingredient,0.003895,SMDE06471,Bladder Squamous Cell Carcinoma,
