UMLS_id,MM_symptom_id,MeSH_tree_numbers,MM_symptom_name
C0751190,SMMS00012,C10.597.617.470|C23.888.592.612.441,Sharp Headache
C0020581,SMMS00022,C11.290.484|C23.550.414.756.550,Haemorrhage Ant Chamber Eye
C1112192,SMMS00039,,Erythrosis
C0027651,SMMS00040,C04,Neoplastic Growth
C0019080,SMMS00042,C23.550.414,Hemorrhage
C0232498,SMMS00046,,Abdominal Tenderness
C0009806,SMMS00054,C23.888.821.150,Constipation
C0751408,SMMS00060,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,Physical Suffering
C0038354,SMMS00071,C06.405.748,Gastric Disorder
C0751187,SMMS00102,C10.597.617.470|C23.888.592.612.441,"Headache, Periorbital"
C0423623,SMMS00108,C10.597.617.470|C23.888.592.612.441,Bilateral Headache
C0029560,SMMS00121,,Other Conjunctivitis Nos
C0751724,SMMS00125,C10.597.617.576|C23.888.592.612.553,Anterior Cervical Pains
C0028838,SMMS00137,C10.597.617.470|C23.888.592.612.441,Ocular Headache
C0043352,SMMS00144,C07.465.815.929,Xerostomia
C0037578,SMMS00163,C26.808,Soft Tissue Injury
C0151603,SMMS00164,C23.888.277,Anasarca
C0600142,SMMS00171,C23.888.475,Hot Flash
C0002453,SMMS00175,C23.550.568.500,Amenorrhea
C0332575,SMMS00181,,Red
C0005424,SMMS00187,C06.130,Biliary And Gallbladder Disorder
C0000737,SMMS00192,C10.597.617.044|C23.888.592.612.054|C23.888.821.030,Abdominal Pain
C0018926,SMMS00208,C06.405.227.400|C23.550.414.788.400|C23.888.821.937.019,Hematemesis
C0423618,SMMS00216,C10.597.617.470|C23.888.592.612.441,Headache Throbbing
C0854388,SMMS00224,,Caustic Injury
C0013604,SMMS00233,C23.888.277,Edema
C0020429,SMMS00237,C10.597.751.791.400|C23.888.592.763.770.400,Hyperalgia
C0011991,SMMS00250,C23.888.821.214,Diarrhea
C0032796,SMMS00270,C23.550.568.500,"Amenorrhea, Postpartum"
C0012691,SMMS00276,C05.116.359|C26.289,Joint Dislocation
C0751186,SMMS00295,C10.597.617.470|C23.888.592.612.441,Orthostatic Headache
C0022346,SMMS00332,C23.550.429.500|C23.888.885.375,Jaundice
C0030193,SMMS00337,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,Pain
C0751725,SMMS00342,C10.597.617.576|C23.888.592.612.553,"Cervical Pain, Posterior"
C0857494,SMMS00363,,Unresponsive To Stimuli
C0040021,SMMS00370,C14.907.137.870|C14.907.940.905,Buerger Disease
C0018939,SMMS00371,C15.378,Blood Disorder
C0006019,SMMS00381,F01.470.192,Boredom
C0234230,SMMS00412,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,Burning Pain
C0458257,SMMS00431,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,Splitting Pain
C0005778,SMMS00438,G09.188.390.150,Blood Coagulation
C0041909,SMMS00442,,Gastrointestinal Bleed Upper
C0522153,SMMS00455,,Discoloration Urine
C0220870,SMMS00484,C10.597.751.237|C23.888.592.763.237,Lightheadedness
C0042023,SMMS00554,,Urination Frequency
C0039971,SMMS00556,F01.658.293.787,Thirst
C0751407,SMMS00569,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,Migratory Pain
C0007078,SMMS00570,C01.252.410.868.820.270.200|C01.252.825.770.270.200|C01.539.800.720.770.270.200|C17.800.838.765.770.270.200,Carbuncle
C0018837,SMMS00574,G01.906.595.543|G16.500.275.063.725.710.380|G16.500.750.775.710.380|N06.230.300.100.725.232|N06.230.300.100.725.710.380,Thermal Energy
C0013911,SMMS00582,C23.888.144.243.963.500,Emaciation
C0162298,SMMS00599,,Joint Stiffness
C0037299,SMMS00617,C17.800.893,Skin Ulcer(S)
C0038999,SMMS00621,,Swelling
C0234238,SMMS00627,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,Ache
C0030579,SMMS00645,C07.465.815.470,Parotid Disease
C0151811,SMMS00646,,Nodule Subcutaneous
C0332691,SMMS00662,,Scald
C1112366,SMMS00668,,Eyelid Irritation
C0474366,SMMS00693,C10.597.617.470|C23.888.592.612.441,Generalised Headache
C0015459,SMMS00700,C10.900.300.284|C26.915.300.425,Face Injury
C0237326,SMMS00701,C23.888.821.150,Defecation Pain
C0332687,SMMS00705,,Second Degree Burn
C1257861,SMMS00715,C23.888.821.150,Colonic Inertia
C0013369,SMMS00732,C06.405.205.331|C06.405.469.300,Dysentery
C0013395,SMMS00765,C23.888.821.236,Dyspepsia
C0005858,SMMS00766,,Eye Blood Shot
C0234254,SMMS00804,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,Pain Radiating
C0458259,SMMS00806,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,Crushing Pain
C0235639,SMMS00807,,Urine Abnormality
C0751192,SMMS00815,C10.597.617.470|C23.888.592.612.441,Vertex Headache
C0751189,SMMS00816,C10.597.617.470|C23.888.592.612.441,"Headache, Retro-Ocular"
C0025320,SMMS00827,G08.686.157.500|G08.686.841.249.500,Menopause
C0858540,SMMS00830,,Hemorrhages Symptoms
C0264309,SMMS00840,,"Disease Of Vocal Cords, Nos"
C0007859,SMMS00871,C10.597.617.576|C23.888.592.612.553,Neck Pain
C0426498,SMMS00872,,Dry Tongue
C0236024,SMMS00877,,Edema Pharynx
C0344304,SMMS00891,,General Abdominal Pain-Symptom
C0239885,SMMS00894,,"Headache, Dull"
C0239739,SMMS00896,,Gingival Pain
C0877781,SMMS00910,C10.597.617.470|C23.888.592.612.441,Headache Unilateral
C0018681,SMMS00928,C10.597.617.470|C23.888.592.612.441,Headache
C0162287,SMMS00936,,Abnormal Stools
C2350229,SMMS00941,G01.906.595.543|G16.500.275.063.725.710.380|G16.500.750.775.710.380|N06.230.300.100.725.232|N06.230.300.100.725.710.380,Hot Temperature
C0006434,SMMS00994,,Burn Injury
C1096401,SMMS01065,,Jaundice (excl Neonatal)
