P_value,Orphanet_id,FDR(Bonferroni),Relationship,FDR(BH),Disease_id,Disease_name,OMIM_id
1.5e-05,,1.0,By_ingredient,0.000222,SMDE00246,"Hypertension, Essential",145500
0.0,,1e-06,By_ingredient,0.0,SMDE00461,Orthostatic Intolerance,604715
0.0,649.0,0.279581,By_ingredient,1.1e-05,SMDE00497,Norrie Disease,310600
0.000183,,1.0,By_ingredient,0.001482,SMDE00576,Li-Fraumeni Syndrome 1,151623
0.0,,0.014554,By_ingredient,1e-06,SMDE00616,Brunner Syndrome,300615
0.000644,79083.0,1.0,By_MM_symptom,0.005727,SMDE00698,"Lipodystrophy, Familial Partial, Type 3",604367
0.0,,0.017687,By_ingredient,1e-06,SMDE00871,Pheochromocytoma,171300
0.000385,,1.0,By_MM_symptom,0.035539,SMDE01067,"Deafness, Autosomal Dominant 9",601369
0.000715,,1.0,By_MM_symptom|By_ingredient,0.004192,SMDE01316,3Mc Syndrome 3,248340
0.000134,,1.0,By_ingredient,0.001169,SMDE01350,"Myasthenic Syndrome, Congenital, 10",254300
0.00075,,1.0,By_ingredient,0.004346,SMDE01541,"Renal Cell Carcinoma, Nonpapillary",144700
0.000305,,1.0,By_MM_symptom,0.003166,SMDE01589,"Leukocyte Adhesion Deficiency, Type Iii",612840
2.3e-05,,1.0,By_ingredient,0.000301,SMDE01604,Schizophrenia,181500
2.7e-05,897.0,1.0,By_MM_symptom,0.019685,SMDE01752,Waardenburg-Shah Syndrome,277580|613265|613266
0.000113,,1.0,By_MM_symptom|By_ingredient|From_DB,0.003251,SMDE01883,"Parkinsonism-Dystonia, Infantile",613135
0.0,,0.031541,By_ingredient,2e-06,SMDE01967,"Hyperekplexia, Hereditary 1",149400
0.0,,0.165856,By_ingredient,7e-06,SMDE01973,Trypsinogen Deficiency,614044
0.000111,524.0,1.0,By_ingredient,0.001014,SMDE01989,Li-Fraumeni Syndrome,151623|609266|609265
8.9e-05,,1.0,By_MM_symptom,0.032833,SMDE02218,Mitochondrial Dna Depletion Syndrome 4B (Mngie Type),613662
0.000423,,1.0,By_ingredient,0.002813,SMDE02273,Immunodeficiency 29,614890
0.0007,,1.0,By_MM_symptom,0.006099,SMDE02302,Alveolar Capillary Dysplasia With Misalignment Of Pulmonary Veins,265380
0.0,3057.0,0.014554,By_ingredient,1e-06,SMDE02441,Monoamine Oxidase A Deficiency,300615
0.000528,2801.0,1.0,By_MM_symptom,0.00489,SMDE02442,Juvenile Paget Disease,239000
0.000604,,1.0,By_MM_symptom,0.005445,SMDE02646,"Coenzyme Q10 Deficiency, Primary, 8",616733
0.0,,0.002134,By_ingredient,0.0,SMDE02989,Autism,209850
0.000715,,1.0,By_MM_symptom|By_ingredient,0.004192,SMDE03071,3Mc Syndrome 2,265050
0.000715,,1.0,By_ingredient,0.004192,SMDE03097,3Mc Syndrome 1,257920
0.0,,7e-06,By_ingredient,0.0,SMDE03634,"Epileptic Encephalopathy, Early Infantile, 19",615744
3e-06,,1.0,By_MM_symptom|By_ingredient,6.5e-05,SMDE04014,"Parkinson Disease, Late-Onset",168600
0.000129,168829.0,1.0,By_MM_symptom,0.035429,SMDE05056,Primary Peritoneal Carcinoma,
0.0,,0.194251,By_ingredient,8e-06,SMDE05089,"Dementia, Lewy Body",127750
0.000703,,1.0,By_ingredient,0.004138,SMDE05208,Epilepsy,
0.000441,,1.0,By_ingredient,0.002904,SMDE05218,Vitiligo,MTHU012246
0.00019,,1.0,By_ingredient,0.001528,SMDE05391,Acrodermatitis Continua Of Hallopeau,614204
0.0007,,1.0,By_MM_symptom,0.006099,SMDE05430,Acute Endomyometritis,
0.0007,,1.0,By_MM_symptom,0.006099,SMDE05435,Acute Haemorrhagic Enterocolitis,
4.5e-05,,1.0,By_ingredient,0.000501,SMDE05616,Adverse Reaction To Drug,
0.0,,0.389696,By_MM_symptom|By_ingredient,1.4e-05,SMDE05642,Agoraphobia,MTHU036947
0.000742,,1.0,By_ingredient,0.004313,SMDE05677,Alcohol Abuse,
1.2e-05,,1.0,By_ingredient,0.000177,SMDE05688,Alcoholic Intoxication,
