MOL_id,Molecule_name,evidence,PubChem_CID,TCMID_id,TCMSP_id,OB_score,TCM_ID_id,CAS_id,type
SMIT00007,Beta-Caryophyllene,,5281515,23126|23486|24363,MOL000036,29.7023,15117|21858,8007-38-3,
SMIT00009,Uridine,,6029|1177,22236,MOL000059,10.4879,258,58-96-8|68184-15-6,
SMIT00010,Palmitic Acid,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0""><a href=""http://cdmd.cnki.com.cn/Article/CDMD-10315-1016289850.htm"" style=""color:#FFFFFF"" target=""_blank"">&nbsp安神定志灵药物成分研究 &nbsp</a><br> </kbd>",985,23175,MOL000069,19.2966,11013|18676,57-10-3|67701-02-4,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT00031,Succinic Acid,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/30682694/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp30682694</a> </kbd>",1110,20428|23475,MOL000346,29.6203,731,110-15-6,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT00034,Beta-Sitosterol,,222284,23097|23514|24065,MOL000358,36.9139,6245,83-46-5,
SMIT00038,Choline,,305,3589,MOL000394,0.474665,5750,62-49-7,
SMIT00040,Nicotinic Acid,,938,15519|23165,MOL000421,47.6453,2316,123574-58-3|59-67-6,
SMIT00063,Vanillin,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/30682694/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp30682694</a> </kbd>",1183,22320,MOL000635,51.996,230,121-33-5,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT00065,Lignoceric Acid,,11197,12794|23239,MOL000663,14.9036,2981,557-59-5,
SMIT00083,Isocurcumenol,,10399139|5255901|12310886,11356,MOL000889,97.6697,3450,24063-71-6,
SMIT00084,Curcumol,,14240392,4398,MOL000902|MOL004254,103.552,5357,4871-97-0,
SMIT00086,Beta-Elemene,,6918391|10583,23279,MOL000908,25.6336,6297,122-78-1|515-13-9,
