P_value,Orphanet_id,FDR(Bonferroni),Relationship,FDR(BH),Disease_id,Disease_name,OMIM_id
0.00075,97279.0,1.0,By_MM_symptom,0.006453,SMDE00404,Insulinoma,MTHU018340
0.000359,1310.0,1.0,By_ingredient,0.007902,SMDE00613,Caffey Disease,114000
0.000563,905.0,1.0,By_ingredient,0.003496,SMDE00866,Wilson Disease,277900
3.3e-05,37.0,1.0,By_MM_symptom,0.000529,SMDE01747,Acrodermatitis Enteropathica,201100
0.000846,524.0,1.0,By_ingredient,0.004767,SMDE01989,Li-Fraumeni Syndrome,151623|609266|609265
5.7e-05,83465.0,1.0,By_MM_symptom,0.000816,SMDE02298,Narcolepsy Without Cataplexy,
0.000147,,1.0,By_ingredient,0.003991,SMDE02318,Nasopharyngeal Carcinoma,607107
6.2e-05,1416.0,1.0,By_ingredient,0.000644,SMDE02519,Familial Calcium Pyrophosphate Deposition,118600|600668
7.7e-05,3287.0,1.0,By_ingredient,0.000768,SMDE02643,Takayasu Arteritis,207600
0.00024,,1.0,By_ingredient,0.005887,SMDE02898,"Osteogenesis Imperfecta, Type I",166200
0.00024,,1.0,By_ingredient,0.005887,SMDE03358,"Ehlers-Danlos Syndrome, Type Vii, Autosomal Dominant",130060
0.000235,900.0,1.0,By_MM_symptom|By_ingredient,0.001795,SMDE03745,Granulomatosis With Polyangiitis,608710
0.00079,49827.0,1.0,By_MM_symptom,0.0067,SMDE03849,Thiamine-Responsive Megaloblastic Anemia Syndrome,249270
0.000807,,1.0,By_ingredient,0.004595,SMDE04086,"Diabetes Mellitus, Noninsulin-Dependent",125853
5.7e-05,,1.0,By_MM_symptom,0.000816,SMDE05398,Acromelalgia Hereditary,
8.3e-05,,1.0,By_ingredient,0.000807,SMDE05426,Acute Coronary Syndrome,
0.000675,,1.0,By_MM_symptom|By_ingredient,0.004016,SMDE05441,Acute Lung Injury,
0.000852,,1.0,By_ingredient,0.004795,SMDE05448,Acute Pancreatitis,MTHU002054
5.7e-05,,1.0,By_MM_symptom,0.000816,SMDE05541,Adjustment Insomnia,
5.7e-05,,1.0,By_MM_symptom,0.000816,SMDE05646,Agrypnia,
0.000385,,1.0,By_MM_symptom,0.003791,SMDE05684,Alcohol-Related Disorders,
0.000385,,1.0,By_MM_symptom,0.003791,SMDE05772,Amphetamine-Related Disorders,
0.000982,,1.0,By_ingredient,0.005336,SMDE05856,Aneurysm,MTHU044974
7.3e-05,,1.0,By_MM_symptom,0.00101,SMDE05949,Anthrax Disease,
0.000849,,1.0,By_MM_symptom,0.007092,SMDE06026,Aromatic Amino Acid Decarboxylase Deficiency,608643
0.000792,,1.0,By_MM_symptom|By_ingredient,0.004532,SMDE06047,"Arthritis, Experimental",
0.000426,,1.0,By_ingredient,0.002828,SMDE06063,Asbestosis,
0.000846,,1.0,By_MM_symptom|By_ingredient,0.004767,SMDE06071,Aseptic Meningitis,
