UMLS_id,MM_symptom_id,MeSH_tree_numbers,MM_symptom_name
C0000731,SMMS00007,,Abdomen Distention
C0002170,SMMS00015,C17.800.329.937.122|C23.300.035,Alopecia
C0086873,SMMS00020,C17.800.329.937.122|C23.300.035,Alopecia Cicatrisata
C0917801,SMMS00033,C10.886.425.800.800|F03.870.400.800.800,Insomnia
C0232132,SMMS00050,,Pulse Weakness
C0751408,SMMS00060,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,Physical Suffering
C0020505,SMMS00080,C23.888.821.645,Hyperphagia
C0040938,SMMS00081,C01.539.800.200.720|C01.703.295.872|C17.800.838.208.883,Trichophytosis
C3179346,SMMS00083,A12.200.808,"Sputums, Induced"
C1704272,SMMS00085,C12.294.565.500,Prostatic Hyperplasia Benign <Prostatism>
C0023533,SMMS00089,C13.351.500.894.700.500,Vaginal Discharge White
C1739363,SMMS00093,C12.294.565.500,Prostate Hypertrophy
C0013390,SMMS00120,C23.550.568.750|C23.888.592.612.944.500,Menstrual Cramp
C1510450,SMMS00127,C09.218.458|C10.597.751.418|C23.888.592.763.393,Auditory Dysesthesia
C0424605,SMMS00157,,Developmental Delay
C0151610,SMMS00162,,Tongue Edema
C0151603,SMMS00164,C23.888.277,Anasarca
C0013428,SMMS00174,C23.888.942.343.274,Dysuria
C0040247,SMMS00179,C01.539.800.200.720|C01.703.295.872|C17.800.838.208.883,Tinea
C0000737,SMMS00192,C10.597.617.044|C23.888.592.612.054|C23.888.821.030,Abdominal Pain
C0013604,SMMS00233,C23.888.277,Edema
C0018944,SMMS00234,C23.550.414.838,Hematoma
C0020429,SMMS00237,C10.597.751.791.400|C23.888.592.763.770.400,Hyperalgia
C0011991,SMMS00250,C23.888.821.214,Diarrhea
C0269899,SMMS00256,C13.703.420.725|C13.703.844.700|C23.550.414.993.850,Hemorrhage Within 24 Hours Following Delivery Of Placenta
C0026961,SMMS00259,C11.710.570,Pupil Dilated
C0030252,SMMS00282,,Palpitation(S)
C0877848,SMMS00304,C09.218.458|C10.597.751.418|C23.888.592.763.393,Distorted Hearing
