MOL_id,Molecule_name,evidence,PubChem_CID,TCMID_id,TCMSP_id,OB_score,TCM_ID_id,CAS_id,type
SMIT00010,Palmitic Acid,,985,23175,MOL000069,19.2966,11013|18676,57-10-3|67701-02-4,
SMIT00011,Catechol,,289,3318,MOL000089,29.8607,5845,120-80-9|37349-32-9,
SMIT00025,Pachyman,,,25161,MOL000288,0.452614,1834,51052-65-4,
SMIT00026,Ergosterol,,444679,7249,MOL000298,14.2909,4561,57-87-4,
SMIT00027,Caprylic Acid,,379,23099|3140,MOL000303,16.398,17919|21953,68937-74-6,
SMIT00028,Lauric Acid,,3893,12564|23228,MOL000305,23.5879,3054,143-07-7,
SMIT00031,Succinic Acid,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/30682694/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp30682694</a> </kbd>",1110,20428|23475,MOL000346,29.6203,731,110-15-6,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT00038,Choline,,305,3589,MOL000394,0.474665,5750,62-49-7,
SMIT00044,Linolenic Acid,,5280934,12887|23046|24136,MOL000432,45.0091,2940,463-40-1,
SMIT00063,Vanillin,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/30682694/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp30682694</a> </kbd>",1183,22320,MOL000635,51.996,230,121-33-5,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT00066,Oleic Acid,,445639,23306,MOL000675|MOL001308,33.1284,2095,112-80-1,
SMIT00079,Stearic Acid,,5281,20264|23171,MOL000860,17.8254,789,1957/11/4|57-11-4,
SMIT00080,Hexadecane,,11006,9484,MOL000865,12.316,3750,544-76-3,
SMIT00086,Beta-Elemene,,6918391|10583,23279,MOL000908,25.6336,6297,122-78-1|515-13-9,
SMIT00090,Ellagic Acid,,5281855,23234|6756,MOL001002,43.0646,4646,476-66-4,
SMIT00100,Myristic Acid,,11005,15195|23167,MOL001393,21.1812,13232|16875,45184-05-2|544-63-8,
SMIT00105,Citric Acid,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/30682694/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp30682694</a> </kbd>",311,23224|3766,MOL001456,56.2199,5608,77-92-9,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
