Symptom_pinyin,Symptom_property,Symptom_locus,TCM_symptom_id,TCM_symptom_name,Type
Bian Tang,脾气虚,大肠,SMTS00046,便溏,Ontological terms
Bu Mei,心肾不交,心,SMTS00057,不寐,Ontological terms
Bu Yu Yin Shi,脾胃虚弱,肠胃,SMTS00065,不欲饮食,Synonymous terms
Chan Hou E Lu Bu Jin,血瘀,子宫,SMTS00074,产后恶露不尽,Synonymous terms
Chang Wei Bu Shi,脾胃不和,肠胃,SMTS00092,肠胃不适,Synonymous terms
Chen Qi Mian Zhong,肾虚,肾,SMTS00095,晨起面肿,Synonymous terms
Da Bian Qing Xi,脾虚,大肠,SMTS00161,大便清稀,Synonymous terms
Da Bian Tang Bao,脾虚,大肠,SMTS00164,大便溏雹,Synonymous terms
Da Bian Tang Xie,脾虚,大肠,SMTS00167,大便溏泻,Ontological terms
Da Bian Xi Bo Ru Shui Yang,脾虚湿盛,大肠,SMTS00168,大便稀薄如水样,Synonymous terms
Da Bian Xi Tang,脾虚,大肠,SMTS00169,大便稀溏,Synonymous terms
Duo Shi,胃火,胃肠,SMTS00213,多食,Synonymous terms
Fa Yu Chi Huan,肾虚,肾,SMTS00238,发育迟缓,Synonymous terms
Fei Qi Bu Chang,气逆,肺,SMTS00255,肺气不畅,Synonymous terms
Fu Tong,血虚,胃,SMTS00288,腹痛,Ontological terms
Fu Zhang,气滞,肠胃,SMTS00292,腹胀,Ontological terms
Han Xing Fu Xie,脾阳虚,,SMTS00379,寒性腹泻,Synonymous terms
Han Chu Bu Chang,湿热,肾,SMTS00381,汗出不畅,Synonymous terms
Han Chu Bu Jie,热,肾,SMTS00382,汗出不解,Synonymous terms
Xing Jing Fu Tong,瘀血,四肢,SMTS00385,行经腹痛,Ontological terms
Huo Dong Zhang Ai,经络不通,,SMTS00413,活动障碍,Synonymous terms
Jing Bi,瘀血,子宫,SMTS00470,经闭,Ontological terms
Jing Qian Fu Tong Jia Ju,血瘀,子宫,SMTS00483,经前腹痛加剧,Synonymous terms
Jing Qian Teng Tong Jia Zhong,血瘀,子宫,SMTS00487,经前疼痛加重,Synonymous terms
Jing Shui Lin Li Bu Jing,阳虚,子宫,SMTS00492,经水淋漓不净,Synonymous terms
Liang Ji,心气虚,心脑,SMTS00496,惊悸,Ontological terms
Liang Kong,阳虚,心脑,SMTS00501,惊恐,Synonymous terms
Jing Qi Bu Zu,肾虚,肾,SMTS00506,精气不足,Synonymous terms
Kou Tu Xian Mo,胃寒,肝脾,SMTS00591,口吐涎沫,Synonymous terms
Mai Chen Xi,水饮内停,,SMTS00651,脉沉细,Synonymous terms
Mai Xi,血虚,,SMTS00652,脉细,Synonymous terms
Mai Xi Ruo,气血虚弱,,SMTS00653,脉细弱,Synonymous terms
Mian Cha,心气虚,心,SMTS00667,眠差,Synonymous terms
