P_value,Ensembl_id,FDR(Bonferroni),Protein_name,Relationship,UniProt_id,FDR(BH),Gene_id,Gene_symbol,Gene_name,Chromosome
0.025237,ENSG00000103591,1.0,,By_ingredient,,0.067052,SMTT00005,AAGAB,Alpha And Gamma Adaptin Binding Protein,15
0.00248,ENSG00000129673,1.0,Serotonin N-acetyltransferase,By_ingredient,Q16613,0.026381,SMTT00006,AANAT,aralkylamine N-acetyltransferase,
0.00012,ENSG00000183044,1.0,"4-aminobutyrate Aminotransferase, Mitochondrial",By_ingredient,P80404,0.001661,SMTT00010,ABAT,4-aminobutyrate Aminotransferase,16
0.00896,ENSG00000159640,1.0,Angiotensin-converting Enzyme,By_ingredient,P12821,0.045463,SMTT00049,ACE,Angiotensin I Converting Enzyme,17
0.00194,ENSG00000130234,1.0,Angiotensin-converting Enzyme 2,By_ingredient,Q9BYF1,0.023272,SMTT00050,ACE2,angiotensin I converting enzyme 2,
0.049839,ENSG00000100412,1.0,"Aconitate Hydratase, Mitochondrial",By_ingredient,Q99798,0.090719,SMTT00052,ACO2,Aconitase 2,22
0.016896,ENSG00000176715,1.0,,By_ingredient,,0.057825,SMTT00057,ACSF3,Acyl-CoA Synthetase Family Member 3,16
0.026668,ENSG00000107796,1.0,"Actin, Aortic Smooth Muscle",By_ingredient,P62736,0.050872,SMTT00061,ACTA2,"Actin, Alpha 2, Smooth Muscle, Aorta",10
0.025237,ENSG00000115170,1.0,Activin Receptor Type-1,By_ingredient,Q04771,0.067052,SMTT00069,ACVR1,Activin A Receptor Type 1,2
0.001463,ENSG00000141433,1.0,Pituitary Adenylate Cyclase-activating Polypeptide,By_ingredient,P18509,0.019689,SMTT00092,ADCYAP1,adenylate cyclase activating polypeptide 1,
0.747492,ENSG00000120907,1.0,Alpha-1A Adrenergic Receptor,By_ingredient,P35348,0.771569,SMTT00102,ADRA1A,adrenoceptor alpha 1A,
0.846056,ENSG00000043591,1.0,Beta-1 Adrenergic Receptor,By_ingredient,P08588,0.863606,SMTT00105,ADRB1,adrenoceptor beta 1,
0.919801,ENSG00000169252,1.0,Beta-2 Adrenergic Receptor,By_ingredient,P07550,0.930988,SMTT00106,ADRB2,adrenoceptor beta 2,
0.025237,ENSG00000239900,1.0,,By_ingredient,,0.067052,SMTT00108,ADSL,Adenylosuccinate Lyase,22
0.004723,ENSG00000172482,1.0,Serine--pyruvate Aminotransferase,By_ingredient,P21549,0.035231,SMTT00125,AGXT,Alanine--glyoxylate And Serine--pyruvate Aminotransferase,2
4e-06,ENSG00000085662,0.347333,Aldose Reductase,By_ingredient,P15121,0.000139,SMTT00139,AKR1B1,aldo-keto reductase family 1 member B,
0.047323,ENSG00000196139,1.0,Aldo-keto Reductase Family 1 Member C3,By_ingredient,P42330,0.088722,SMTT00142,AKR1C3,aldo-keto reductase family 1 member C3,
0.041679,ENSG00000142208,1.0,RAC-alpha Serine/threonine-protein Kinase,By_ingredient,P31749,0.083195,SMTT00144,AKT1,AKT Serine/threonine Kinase 1,14
0.029934,ENSG00000158578,1.0,"5-aminolevulinate Synthase, Erythroid-specific, Mitochondrial",By_ingredient,P22557,0.050872,SMTT00149,ALAS2,5'-aminolevulinate Synthase 2,X
0.025028,ENSG00000111275,1.0,"Aldehyde Dehydrogenase, Mitochondrial",By_ingredient,P05091,0.067018,SMTT00153,ALDH2,Aldehyde Dehydrogenase 2 Family Member,12
0.005255,ENSG00000159423,1.0,"Delta-1-pyrroline-5-carboxylate Dehydrogenase, Mitochondrial",By_ingredient,P30038,0.037045,SMTT00156,ALDH4A1,Aldehyde Dehydrogenase 4 Family Member A1,1
0.016896,ENSG00000104899,1.0,,By_ingredient,,0.057825,SMTT00187,AMH,Anti-Mullerian Hormone,19
0.049839,ENSG00000214274,1.0,Angiogenin,By_ingredient,P03950,0.090719,SMTT00195,ANG,Angiogenin,14
0.025008,ENSG00000084674,1.0,,By_ingredient,,0.045101,SMTT00232,APOB,Apolipoprotein B,2
0.98965,ENSG00000169083,1.0,Androgen Receptor,By_ingredient,P10275,0.99225,SMTT00244,AR,Androgen Receptor,X
0.006995,ENSG00000149311,1.0,Serine-protein Kinase ATM,By_ingredient,Q13315,0.033537,SMTT00287,ATM,ATM Serine/threonine Kinase,11
0.049396,ENSG00000017260,1.0,Calcium-transporting ATPase Type 2C Member 1,By_ingredient,P98194,0.071797,SMTT00295,ATP2C1,ATPase Secretory Pathway Ca2+ Transporting 1,3
0.016896,,1.0,"ATP Synthase Subunit Beta, Mitochondrial",By_ingredient,P06576,0.0393,SMTT00297,ATP5B,,
0.016896,ENSG00000116039,1.0,,By_ingredient,,0.057825,SMTT00302,ATP6V1B1,ATPase H+ Transporting V1 Subunit B1,2
0.016896,ENSG00000147416,1.0,"V-type Proton ATPase Subunit B, Brain Isoform",By_ingredient,P21281,0.057825,SMTT00303,ATP6V1B2,ATPase H+ Transporting V1 Subunit B2,8
0.025237,ENSG00000165240,1.0,,By_ingredient,,0.067052,SMTT00304,ATP7A,ATPase Copper Transporting Alpha,X
0.033507,ENSG00000123191,1.0,,By_ingredient,,0.075179,SMTT00305,ATP7B,ATPase Copper Transporting Beta,13
0.008484,ENSG00000105146,1.0,Aurora Kinase C,By_ingredient,Q9UQB9,0.044522,SMTT00322,AURKC,Aurora Kinase C,19
0.049839,ENSG00000103126,1.0,Axin-1,By_ingredient,O15169,0.090719,SMTT00326,AXIN1,Axin 1,16
0.000705,ENSG00000168646,1.0,,By_ingredient,,0.012646,SMTT00327,AXIN2,Axin 2,17
0.009522,ENSG00000114200,1.0,Cholinesterase,By_ingredient,P06276,0.026159,SMTT00356,BCHE,butyrylcholinesterase,
0.035586,ENSG00000171791,1.0,Apoptosis Regulator Bcl-2,By_ingredient,P10415,0.07704,SMTT00361,BCL2,"BCL2, Apoptosis Regulator",18
0.040183,ENSG00000171552,1.0,Bcl-2-like Protein 1,By_ingredient,Q07817,0.081806,SMTT00362,BCL2L1,BCL2 like 1,
0.000311,ENSG00000242252,1.0,Osteocalcin,By_ingredient,P02818,0.007241,SMTT00374,BGLAP,bone gamma-carboxyglutamate protein,
0.037368,ENSG00000023445,1.0,,By_ingredient,,0.07904,SMTT00379,BIRC3,Baculoviral IAP Repeat Containing 3,11
0.008484,ENSG00000130385,1.0,,By_ingredient,,0.044522,SMTT00388,BMP15,Bone Morphogenetic Protein 15,X
0.011141,ENSG00000125845,1.0,,By_ingredient,,0.049825,SMTT00389,BMP2,Bone Morphogenetic Protein 2,20
0.049839,ENSG00000139618,1.0,,By_ingredient,,0.090719,SMTT00402,BRCA2,"BRCA2, DNA Repair Associated",13
0.025237,ENSG00000136492,1.0,,By_ingredient,,0.067052,SMTT00404,BRIP1,BRCA1 Interacting Protein C-terminal Helicase 1,17
0.025028,ENSG00000010671,1.0,Tyrosine-protein Kinase BTK,By_ingredient,Q06187,0.050872,SMTT00409,BTK,Bruton Tyrosine Kinase,X
0.008484,ENSG00000166167,1.0,,By_ingredient,,0.044522,SMTT00411,BTRC,Beta-transducin Repeat Containing E3 Ubiquitin Protein Ligase,10
0.000956,ENSG00000104267,1.0,Carbonic Anhydrase 2,By_ingredient,P00918,0.015186,SMTT00436,CA2,Carbonic Anhydrase 2,8
0.049839,ENSG00000151067,1.0,Voltage-dependent L-type Calcium Channel Subunit Alpha-1C,By_ingredient,Q13936,0.090719,SMTT00445,CACNA1C,Calcium Voltage-gated Channel Subunit Alpha1 C,12
0.005255,ENSG00000110680,1.0,Calcitonin Gene-related Peptide 1,By_ingredient,P06881,0.037045,SMTT00457,CALCA,calcitonin related polypeptide alpha,
0.136042,ENSG00000160014,1.0,,By_ingredient,,0.161944,SMTT00461,CALM3,Calmodulin 3,19
