P_value,Ensembl_id,FDR(Bonferroni),Protein_name,Relationship,UniProt_id,FDR(BH),Gene_id,Gene_symbol,Gene_name,Chromosome
0.032943,ENSG00000183044,1.0,"4-aminobutyrate Aminotransferase, Mitochondrial",By_ingredient,P80404,0.053998,SMTT00010,ABAT,4-aminobutyrate Aminotransferase,16
0.0,ENSG00000087085,0.000114,Acetylcholinesterase,By_ingredient,P22303,0.0,SMTT00051,ACHE,acetylcholinesterase (Cartwright blood group),
0.023735,ENSG00000176715,1.0,,By_ingredient,,0.065404,SMTT00057,ACSF3,Acyl-CoA Synthetase Family Member 3,16
0.04963,ENSG00000107796,1.0,"Actin, Aortic Smooth Muscle",By_ingredient,P62736,0.09061,SMTT00061,ACTA2,"Actin, Alpha 2, Smooth Muscle, Aorta",10
0.035391,ENSG00000115170,1.0,Activin Receptor Type-1,By_ingredient,Q04771,0.076813,SMTT00069,ACVR1,Activin A Receptor Type 1,2
0.007277,ENSG00000151694,1.0,Disintegrin And Metalloproteinase Domain-containing Protein 17,By_ingredient,P78536,0.04201,SMTT00076,ADAM17,ADAM Metallopeptidase Domain 17,2
0.023735,ENSG00000160710,1.0,,By_ingredient,,0.065404,SMTT00085,ADAR,"Adenosine Deaminase, RNA Specific",1
0.007277,ENSG00000156110,1.0,Adenosine Kinase,By_ingredient,P55263,0.04201,SMTT00098,ADK,Adenosine Kinase,10
3.4e-05,ENSG00000120907,1.0,Alpha-1A Adrenergic Receptor,By_ingredient,P35348,0.000677,SMTT00102,ADRA1A,adrenoceptor alpha 1A,
0.001946,ENSG00000150594,1.0,Alpha-2A Adrenergic Receptor,By_ingredient,P08913,0.019098,SMTT00103,ADRA2A,adrenoceptor alpha 2A,
4.8e-05,ENSG00000274286,1.0,Alpha-2B Adrenergic Receptor,By_ingredient,P18089,0.001937,SMTT00104,ADRA2B,Adrenoceptor Alpha 2B,2
0.002716,ENSG00000043591,1.0,Beta-1 Adrenergic Receptor,By_ingredient,P08588,0.027956,SMTT00105,ADRB1,adrenoceptor beta 1,
0.000421,ENSG00000169252,1.0,Beta-2 Adrenergic Receptor,By_ingredient,P07550,0.003946,SMTT00106,ADRB2,adrenoceptor beta 2,
0.035391,ENSG00000239900,1.0,,By_ingredient,,0.076813,SMTT00108,ADSL,Adenylosuccinate Lyase,22
0.004839,ENSG00000156709,1.0,"Apoptosis-inducing Factor 1, Mitochondrial",By_ingredient,O95831,0.035513,SMTT00131,AIFM1,Apoptosis Inducing Factor Mitochondria Associated 1,X
0.01176,ENSG00000164022,1.0,,By_ingredient,,0.050166,SMTT00132,AIMP1,Aminoacyl tRNA Synthetase Complex Interacting Multifunctional Protein 1,4
0.45851,ENSG00000085662,1.0,Aldose Reductase,By_ingredient,P15121,0.490761,SMTT00139,AKR1B1,aldo-keto reductase family 1 member B,
0.043799,ENSG00000163631,1.0,Serum Albumin,By_ingredient,P02768,0.085294,SMTT00150,ALB,Albumin,4
0.023735,ENSG00000104899,1.0,,By_ingredient,,0.065404,SMTT00187,AMH,Anti-Mullerian Hormone,19
0.023023,ENSG00000142192,1.0,Amyloid Beta A4 Protein,By_ingredient,P05067,0.064993,SMTT00238,APP,Amyloid Beta Precursor Protein,21
0.998714,ENSG00000169083,1.0,Androgen Receptor,By_ingredient,P10275,0.999506,SMTT00244,AR,Androgen Receptor,X
0.006001,ENSG00000141522,1.0,,By_ingredient,,0.03895,SMTT00250,ARHGDIA,Rho GDP Dissociation Inhibitor Alpha,17
0.029072,,1.0,"ATP Synthase Subunit Beta, Mitochondrial",By_ingredient,P06576,0.049851,SMTT00297,ATP5B,,
0.023735,ENSG00000116039,1.0,,By_ingredient,,0.065404,SMTT00302,ATP6V1B1,ATPase H+ Transporting V1 Subunit B1,2
0.023735,ENSG00000147416,1.0,"V-type Proton ATPase Subunit B, Brain Isoform",By_ingredient,P21281,0.065404,SMTT00303,ATP6V1B2,ATPase H+ Transporting V1 Subunit B2,8
0.035391,ENSG00000165240,1.0,,By_ingredient,,0.076813,SMTT00304,ATP7A,ATPase Copper Transporting Alpha,X
0.046909,ENSG00000123191,1.0,,By_ingredient,,0.08824,SMTT00305,ATP7B,ATPase Copper Transporting Beta,13
0.011939,ENSG00000132932,1.0,,By_ingredient,,0.050166,SMTT00307,ATP8A2,ATPase Phospholipid Transporting 8A2,13
0.023427,ENSG00000002330,1.0,Bcl2-associated Agonist Of Cell Death,By_ingredient,Q92934,0.06515,SMTT00341,BAD,BCL2 associated agonist of cell death,
0.288831,ENSG00000114200,1.0,Cholinesterase,By_ingredient,P06276,0.318628,SMTT00356,BCHE,butyrylcholinesterase,
0.046909,ENSG00000248098,1.0,,By_ingredient,,0.08824,SMTT00357,BCKDHA,"Branched Chain Keto Acid Dehydrogenase E1, Alpha Polypeptide",19
0.004223,ENSG00000171791,1.0,Apoptosis Regulator Bcl-2,By_ingredient,P10415,0.02053,SMTT00361,BCL2,"BCL2, Apoptosis Regulator",18
0.014624,ENSG00000176697,1.0,Brain-derived Neurotrophic Factor,By_ingredient,P23560,0.054672,SMTT00369,BDNF,Brain Derived Neurotrophic Factor,11
0.011939,ENSG00000130385,1.0,,By_ingredient,,0.050166,SMTT00388,BMP15,Bone Morphogenetic Protein 15,X
0.015266,ENSG00000012048,1.0,,By_ingredient,,0.055706,SMTT00401,BRCA1,"BRCA1, DNA Repair Associated",17
0.035391,ENSG00000136492,1.0,,By_ingredient,,0.076813,SMTT00404,BRIP1,BRCA1 Interacting Protein C-terminal Helicase 1,17
0.13081,ENSG00000133742,1.0,Carbonic Anhydrase 1,By_ingredient,P00915,0.156598,SMTT00434,CA1,carbonic anhydrase 1,
0.000231,ENSG00000104267,1.0,Carbonic Anhydrase 2,By_ingredient,P00918,0.005927,SMTT00436,CA2,Carbonic Anhydrase 2,8
0.951101,ENSG00000160014,1.0,,By_ingredient,,0.958902,SMTT00461,CALM3,Calmodulin 3,19
0.000521,ENSG00000164305,1.0,Caspase-3,By_ingredient,P42574,0.01033,SMTT00480,CASP3,caspase 3,
0.313821,ENSG00000121691,1.0,Catalase,By_ingredient,P04040,0.344233,SMTT00487,CAT,Catalase,11
0.277376,ENSG00000110092,1.0,G1/S-specific Cyclin-D1,By_ingredient,P24385,0.30693,SMTT00521,CCND1,Cyclin D1,11
0.02125,ENSG00000112486,1.0,,By_ingredient,,0.063149,SMTT00528,CCR6,C-C Motif Chemokine Receptor 6,6
0.046909,ENSG00000178562,1.0,,By_ingredient,,0.08824,SMTT00538,CD28,CD28 Molecule,2
0.023735,ENSG00000007312,1.0,,By_ingredient,,0.065404,SMTT00551,CD79B,CD79b Molecule,17
0.186694,ENSG00000101224,1.0,M-phase Inducer Phosphatase 2,By_ingredient,P30305,0.213884,SMTT00558,CDC25B,cell division cycle 25B,
0.002313,ENSG00000123374,1.0,Cyclin-dependent Kinase 2,By_ingredient,P24941,0.025557,SMTT00569,CDK2,cyclin dependent kinase 2,
0.19862,ENSG00000135446,1.0,Cyclin-dependent Kinase 4,By_ingredient,P11802,0.226194,SMTT00570,CDK4,Cyclin Dependent Kinase 4,12
0.001417,ENSG00000070748,1.0,Choline O-acetyltransferase,By_ingredient,P28329,0.019341,SMTT00624,CHAT,Choline O-acetyltransferase,10
0.046909,ENSG00000100288,1.0,,By_ingredient,,0.08824,SMTT00629,CHKB,Choline Kinase Beta,22
0.0,ENSG00000168539,0.00175,Muscarinic Acetylcholine Receptor M1,By_ingredient,P11229,2e-06,SMTT00636,CHRM1,cholinergic receptor muscarinic 1,
